province;commoudept;arrondissement;siege;centrevote
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;1 siege;ECOLE CONVENTIONEE DES CHARBONNAGES
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;1 siege;ECOLE PUBLIQUE ALIBADENG
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;1 siege; ECOLE PUBLIQUE AMBOWE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;1 siege; ECOLE PUBLIQUE CHARBONNAGES
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;1 siege;ECOLE PUBLIQUE OKALA
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;1 siege;ECOLE PUBLIQUE OKALA B
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;1 siege;LYCEE INDJENDJE GONDJOUT
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;1 siege;COMPLEXE SCOLAIRE IRIS D’ONDOGO 1
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;CES ANGE MBA
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;CES PRIVE DE LOUIS
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;COLLEGE NOTRE DAME DE QUABEN
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;ECOLE CONVENTIONNÉE GROS BOUQUET 1
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;ECOLE CONVENTIONNÉE GROS BOUQUET 2
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;ECOLE PUBLIQUE BAS GUE-GUE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;ECOLE PUBLIQUE ENS A
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;ECOLE PUBLIQUE ENS B
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;ECOLE PUB.ENSET A
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;ECOLE PUBLIQUE ENSET B
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;ECOLE PUBLIQUE BA OUMAR
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;ECOLE PUBLIQUE.DE LOUIS
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;ECOLE PUBLIQUE GROS BOUQUET 4
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;LYCEE LEON MBA
PROVINCE DE L’ESTUAIRE;Commune de Libreville;1er  arrondissement;2 siege;LYCEE NELSON MANDELA
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;1 siege;COLLEGE PRIVE SAINTE LYDIE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;1 siege;COLLEGE PRIVE SAINT NICOLAS
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;1 siege;ECOLE PUBLIQUE MARTINE OULABOU A
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;1 siege;ECOLE PUBLIQUE MARTINE OULABOU B
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;1 siege;ECOLE CATHOLIQUE MONTFORT
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;1 siege;ECOLE SAINT JOSEPH 1
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;1 siege;ECOLE SAINTE MARIE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;1 siege;CENTRE PRESCOLAIRE DOMI
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;2 siege;ECOLE PUBLIQUE CITE MEBIAME
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;2 siege;ECOLE NATIONALE SUPERIEURE SECRETARIAT (IUSSO)
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;2 siege;ECOLE PUBLIQUE SOTEGA
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;2 siege;ECOLE ST MICHEL A
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;2 siege;ECOLE ST MICHEL B
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;2 siege;ENESP (ANCIEN COLLEGE DES RETRAITES)
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;2 siege;JARDIN DIVIN D’AMOUR
PROVINCE DE L’ESTUAIRE;Commune de Libreville;2eme arrondissement ;2 siege;ECOLE PUBLIQUE NZENG AYONG DU LAC
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;BASE SOTRAVIL (SOGATRA)
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;C.SOCIAL HYACINTHE ANTINI
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;CES AKEBE A
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;CASE D’ECOUTE CARR. HASSAN
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;CENTRE PRESCOLAIRE NOMBAKELE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;CES AKEBE B
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;ECOLE PUBLIQUE MONT BOUET II
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;ECOLE CATHOLIQUE SAINTE ANNE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;ECOLE MONT BOUET I (SORBONNE)
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;ECOLE PILOTE DU CENTRE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;ECOLE PUBLIQUE LA PEYRIE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;ECOLE PUBLIQUE AKEBE I
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;ECOLE URBAINE DU CENTRE A
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;1 siege;ECOLE URBAINE DU CENTRE B
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;2 siege;COLLEGE EVOLUTION
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;2 siege;ECOLE PUBLIQUE AKEBE BELLE VUE 1 A
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;2 siege;ECOLE P. AKEBE BELLE VUE 1 B
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;2 siege;ECOLE PUBLIQUE VENEZ VOIR
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;2 siege;LYCEE MABIGNATH (ANCIENNE ECOLE PUBLIQUE AKEBE VILLE OPT)
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;2 siege;ECOLE BELLE VUE II
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;2 siege;ECOLE PUBLIQUE DE KINGUELE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;2 siege;ECOLE PUBLIQUE PK8-2
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;2 siege;ECOLE PUBLIQUE PK8-1
PROVINCE DE L’ESTUAIRE;Commune de Libreville;3eme arrondissement;2 siege;JARDIN D’ENFANT CNSS
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;1 siege;CENTRE SOCIAL AKEBE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;1 siege;CES EVANGELIQUE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;1 siege;ECOLE PUBLIQUE AKEBE II B
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;1 siege;ECOLE PUBLIQUE AKEBE II A
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;1 siege;ECOLE PUBLIQUE AWENDJE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;2 siege;COURS AMBOUROUET
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;2 siege;ECOLE NOTRE DAME DES VICTOIRES A
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;2 siege;ECOLE NOTRE DAME DES VICTOIRES B
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;2 siege;ECOLE PUBLIQUE PLAINE NIGER A
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;2 siege;ECOLE BATAVEA
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;2 siege;ECOLE CONSUL.CHAMBRE COMMERCE
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;2 siege;ECOLE PUBLIQUE BATAVEA 1
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;2 siege;C.E.S BATAVEA (ANCIENNE ECOLE PUBLIQUE BATAVEA 2)
PROVINCE DE L’ESTUAIRE;Commune de Libreville;4eme arrondissement;2 siege;ECOLE PUBLIQUE PLAINE NIGER B
